time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
315.375413790	622	265	0	0	0	0	0	0
315.392739560	626	265	0	0	0	0	0	0
315.410065330	630	265	0	0	0	0	0	0
315.427391100	634	265	0	0	0	0	0	0
315.444716870	638	265	0	0	0	0	0	0
315.462042640	642	265	0	0	0	0	0	0
315.479368410	644	266	0	0	0	0	0	0
315.496694180	647	267	0	0	0	0	0	0
315.514019950	651	267	0	0	0	0	0	0
315.531345720	655	267	0	0	0	0	0	0
315.548671490	659	267	0	0	0	0	0	0
315.565997260	663	266	0	0	0	0	0	0
315.583323030	667	266	0	0	0	0	0	0
315.600648800	670	267	0	0	0	0	0	0
Pause
316.600648800	670	267	0	0	0	0	0	0
316.617974570	674	268	0	0	0	0	0	0
316.635300340	678	267	0	0	0	0	0	0
316.652626110	682	267	0	0	0	0	0	0
316.669951880	686	268	0	0	0	0	0	0
316.687277650	690	268	0	0	0	0	0	0
316.704603420	693	268	0	0	0	0	0	0
316.721929190	697	269	0	0	0	0	0	0
316.739254960	701	269	0	0	0	0	0	0
316.756580730	705	270	0	0	0	0	0	0
316.773906500	709	271	0	0	0	0	0	0
316.791232270	713	271	0	0	0	0	0	0
316.808558040	716	271	0	0	0	0	0	0
316.825883810	717	272	0	0	0	0	0	0
Pause
317.825883810	717	272	0	0	0	0	0	0
317.843209580	721	272	0	0	0	0	0	0
317.860535350	724	273	0	0	0	0	0	0
317.877861120	728	273	0	0	0	0	0	0
317.895186890	730	274	0	0	0	0	0	0
317.912512660	734	274	0	0	0	0	0	0
317.929838430	737	276	0	0	0	0	0	0
317.947164200	740	277	0	0	0	0	0	0
317.964489970	744	277	0	0	0	0	0	0
317.981815740	748	278	0	0	0	0	0	0
317.999141510	752	279	0	0	0	0	0	0
318.016467280	754	281	0	0	0	0	0	0
318.033793050	758	281	0	0	0	0	0	0
318.051118820	761	282	0	0	0	0	0	0
Pause
319.051118820	761	282	0	0	0	0	0	0
319.068444590	765	282	0	0	0	0	0	0
319.085770360	768	284	0	0	0	0	0	0
319.103096130	772	285	0	0	0	0	0	0
319.120421900	775	287	0	0	0	0	0	0
